commit_id,files_changed,lines_added,lines_deleted,test_count,previous_runtime_sec,previous_failure,build_time_sec,test_time_sec,cpu_usage_pct,memory_usage_mb,result,timestamp
c_53d5538,1,44,27,6,15.0,0,0.022,1.026,26.71,104.7,0,1789023602.4288757
c_0c201c3,4,37,25,12,1.048,0,0.019,0.656,11.25,117.56,0,1789023782.4288757
c_7d63d5e,6,129,1,12,0.675,0,0.032,0.649,25.55,103.16,0,1789023962.4288757
c_c158300,3,40,29,24,0.681,0,0.023,1.106,32.55,117.71,0,1789024142.4288757
c_db3dd6a,2,41,2,6,1.129,0,0.02,0.337,27.28,103.16,0,1789024322.4288757
c_5f539cf,3,13,30,6,0.357,0,0.016,0.34,27.59,110.04,0,1789024502.4288757
c_d17cd46,5,174,44,24,0.356,0,0.039,1.096,39.2,117.38,0,1789024682.4288757
c_ba9a81a,12,136,90,24,1.135,0,0.034,1.121,34.26,118.02,1,1789024862.4288757
c_50982ac,2,68,9,6,1.156,1,0.024,0.36,26.18,109.47,1,1789025042.4288757
c_8c78d06,3,46,8,6,0.383,1,0.02,0.348,33.79,110.62,0,1789025222.4288757
c_6253782,4,40,73,24,0.369,0,0.021,1.11,21.54,101.6,0,1789025402.4288757
c_3e6e645,11,30,64,24,1.131,0,0.02,1.107,27.05,120.33,1,1789025582.4288757
c_3390b08,2,63,6,24,1.126,1,0.023,1.093,27.61,113.87,1,1789025762.4288757
c_82ed4c1,3,35,28,24,1.116,1,0.019,1.086,26.13,103.33,0,1789025942.4288757
c_f292578,6,176,30,24,1.106,0,0.039,1.099,33.16,120.73,1,1789026122.4288757
c_74b240c,3,54,20,6,1.138,1,0.022,0.36,39.98,120.51,1,1789026302.4288757
c_304c943,1,57,30,6,0.382,1,0.025,0.344,36.42,119.7,0,1789026482.4288757
c_adbce2d,8,161,80,18,0.369,0,0.04,0.853,31.39,110.75,0,1789026662.4288757
c_69e9185,1,66,14,6,0.893,0,0.024,0.349,14.74,115.44,0,1789026842.4288757
c_170c9b5,3,18,13,24,0.373,0,0.018,1.097,22.49,102.84,0,1789027022.4288757
c_ebd41b2,2,40,14,6,1.115,0,0.02,0.349,50.97,105.28,0,1789027202.4288757
c_a763c83,5,117,4,12,0.369,0,0.032,0.61,19.75,116.34,0,1789027382.4288757
c_41ddbc6,6,126,51,24,0.643,0,0.033,1.1,11.61,108.78,0,1789027562.4288757
c_f5365a4,8,201,21,24,1.132,0,0.043,1.121,34.05,109.34,0,1789027742.4288757
c_a82da43,9,149,53,24,1.163,0,0.04,1.086,50.61,118.5,0,1789027922.4288757
c_6b3f6c7,1,106,43,24,1.127,0,0.029,1.106,28.33,119.63,1,1789028102.4288757
c_189799c,2,21,12,6,1.135,1,0.017,0.346,39.23,114.36,0,1789028282.4288757
c_f781d16,9,89,60,24,0.363,0,0.028,1.107,11.82,120.46,1,1789028462.4288757
c_5292e73,6,48,36,24,1.135,1,0.021,1.1,30.13,103.88,0,1789028642.4288757
c_9a9b0e1,1,13,6,24,1.121,0,0.016,1.098,23.1,108.36,0,1789028822.4288757
c_de286d6,1,6,50,12,1.114,0,0.015,0.592,19.92,107.36,0,1789029002.4288757
c_44156bf,3,34,22,6,0.607,0,0.02,0.339,34.3,106.24,0,1789029182.4288757
c_ace3c9d,2,60,27,24,0.36,0,0.024,1.098,50.52,116.38,0,1789029362.4288757
c_da1cef6,3,41,25,24,1.121,0,0.02,1.099,35.19,113.18,0,1789029542.4288757
c_172c1e2,2,49,17,24,1.119,0,0.023,1.102,24.76,103.68,0,1789029722.4288757
c_f0ba75d,8,107,7,24,1.125,0,0.033,1.108,25.92,107.18,0,1789029902.4288757
c_11eaa5d,2,69,40,24,1.142,0,0.027,1.096,33.96,101.99,0,1789030082.4288757
c_d2d5a58,3,69,29,6,1.123,0,0.024,0.341,29.0,113.75,0,1789030262.4288757
c_c6335b8,3,68,13,6,0.365,0,0.026,0.348,15.67,109.05,0,1789030442.4288757
c_5d1ff0b,3,53,10,24,0.375,0,0.022,1.087,31.88,103.79,0,1789030622.4288757
c_d51f80d,3,26,12,24,1.109,0,0.018,1.098,30.43,117.14,1,1789030802.4288757
c_fd096b2,5,148,47,24,1.116,1,0.04,1.096,46.26,101.52,0,1789030982.4288757
c_53174b5,1,7,25,12,1.136,0,0.016,0.591,17.47,120.7,0,1789031162.4288757
c_75517d1,2,27,15,24,0.607,0,0.018,1.09,30.57,106.58,1,1789031342.4288757
c_7b13699,3,52,17,12,1.108,1,0.022,0.603,14.53,113.54,0,1789031522.4288757
c_6c2df1d,7,81,16,24,0.625,0,0.029,1.091,25.74,111.65,0,1789031702.4288757
c_9f6b648,10,294,19,24,1.12,0,0.061,1.104,15.43,101.41,0,1789031882.4288757
c_7019c70,5,83,11,24,1.166,0,0.026,1.088,14.62,101.63,0,1789032062.4288757
c_0390430,5,157,14,24,1.115,0,0.038,1.094,21.96,105.41,0,1789032242.4288757
c_38221be,2,17,4,24,1.132,0,0.021,1.096,29.41,113.92,1,1789032422.4288757
c_d108e71,1,41,17,24,1.117,1,0.02,1.091,30.69,102.76,1,1789032602.4288757
c_e99b273,9,129,0,24,1.111,1,0.032,1.103,12.29,118.29,1,1789032782.4288757
c_4948716,1,24,9,6,1.135,1,0.019,0.346,30.55,108.61,0,1789032962.4288757
c_55e88a6,2,15,2,6,0.366,0,0.016,0.344,24.3,105.81,0,1789033142.4288757
c_49a0925,2,40,3,24,0.36,0,0.02,1.091,45.03,108.22,0,1789033322.4288757
c_6142677,1,36,14,6,1.111,0,0.021,0.349,30.06,114.04,0,1789033502.4288757
